date,pm25,aqi,aqi_lag_1,aqi_lag_3,aqi_change_rate,month,day_of_week,is_weekend
2025-01-19,174,300.0,300.0,300.0,0.0,1,6,1
2025-01-20,171,300.0,300.0,300.0,0.0,1,0,0
2025-01-21,196,300.0,300.0,300.0,0.0,1,1,0
2025-01-22,178,300.0,300.0,300.0,0.0,1,2,0
2025-01-23,143,242.2023182297155,300.0,300.0,-0.19265893923428168,1,3,0
2025-01-24,133,231.6649104320337,242.2023182297155,300.0,-0.04350663476180128,1,4,0
2025-01-25,134,232.7186512118019,231.6649104320337,300.0,0.0045485558335229825,1,5,1
2025-01-26,161,300.0,232.7186512118019,242.2023182297155,0.2891102558297487,1,6,1
2025-01-27,154,300.0,300.0,231.6649104320337,0.0,1,0,0
2025-01-28,153,300.0,300.0,232.7186512118019,0.0,1,1,0
2025-01-29,89,185.30031612223394,300.0,300.0,-0.38233227959255356,1,2,0
2025-01-30,136,234.82613277133825,185.30031612223394,300.0,0.26727324424225185,1,3,0
2025-01-31,135,233.7723919915701,234.82613277133825,300.0,-0.0044873233116445865,1,4,0
2025-02-01,159,300.0,233.7723919915701,185.30031612223394,0.28329952670723446,2,5,1
2025-02-02,151,300.0,300.0,234.82613277133825,0.0,2,6,1
2025-02-03,149,248.52476290832453,300.0,233.7723919915701,-0.17158412363891817,2,0,0
2025-02-04,107,204.26765015806112,248.52476290832453,300.0,-0.1780792876828492,2,1,0
2025-02-05,141,240.09483667017912,204.26765015806112,300.0,0.17539334537013151,2,2,0
2025-02-06,154,300.0,240.09483667017912,248.52476290832453,0.2495062541145492,2,3,0
2025-02-07,137,235.8798735511064,300.0,204.26765015806112,-0.2137337548296453,2,4,0
2025-02-08,155,300.0,235.8798735511064,240.09483667017912,0.27183381728836276,2,5,1
2025-02-09,175,300.0,300.0,300.0,0.0,2,6,1
2025-02-10,116,213.7513171759747,300.0,235.8798735511064,-0.2874956094134177,2,0,0
2025-02-11,94,190.5690200210748,213.7513171759747,300.0,-0.1084545230465861,2,1,0
2025-02-12,165,300.0,190.5690200210748,300.0,0.5742327896046449,2,2,0
2025-02-13,240,300.0,300.0,213.7513171759747,0.0,2,3,0
2025-02-14,105,202.16016859852476,300.0,190.5690200210748,-0.3261327713382508,2,4,0
2025-02-15,81,176.87038988408852,202.16016859852476,300.0,-0.12509773260359647,2,5,1
2025-02-16,77,172.65542676501582,176.87038988408852,300.0,-0.02383080131069404,2,6,1
2025-02-17,140,239.04109589041093,172.65542676501582,202.16016859852476,0.38449801647848614,2,0,0
2025-02-18,114,211.64383561643834,239.04109589041093,176.87038988408852,-0.1146131805157593,2,1,0
2025-02-19,74,169.49420442571127,211.64383561643834,172.65542676501582,-0.19915359721184955,2,2,0
2025-02-20,131,229.55742887249735,169.49420442571127,239.04109589041093,0.3543674230649674,2,3,0
2025-02-21,179,300.0,229.55742887249735,211.64383561643834,0.3068625200826258,2,4,0
2025-02-22,172,300.0,300.0,169.49420442571127,0.0,2,5,1
2025-02-23,124,222.1812434141201,300.0,229.55742887249735,-0.2593958552862663,2,6,1
2025-02-24,117,214.80505795574288,222.1812434141201,300.0,-0.0331989566042209,2,0,0
2025-02-25,175,300.0,214.80505795574288,300.0,0.3966151582045623,2,1,0
2025-02-26,129,227.449947312961,300.0,222.1812434141201,-0.24183350895679667,2,2,0
2025-02-27,89,185.30031612223394,227.449947312961,214.80505795574288,-0.18531387537641875,2,3,0
2025-02-28,81,176.87038988408852,185.30031612223394,300.0,-0.045493318168893904,2,4,0
2025-03-01,100,196.89146469968387,176.87038988408852,227.449947312961,0.1131963062257968,3,5,1
2025-03-02,110,207.42887249736566,196.89146469968387,185.30031612223394,0.05351886540005357,3,6,1
2025-03-03,92,188.46153846153845,207.42887249736566,176.87038988408852,-0.09144018288036582,3,0,0
2025-03-04,144,243.25605900948366,188.46153846153845,196.89146469968387,0.2907464355605256,3,1,0
